FOV (Radians):,0.7,1,1.3,1.6,1.9,2.2,2.5
,,,,,,,
,327.23,447.26,303.55,292.61,292.8,552.83,DNF
,255.14,128.64,58.11,56.77,193.63,55.42,DNF
,DNF,62.05,61.63,61.22,60.48,61.38,DNF
,63.87,131.52,62.88,109.34,93.76,154.5,DNF
,DNF,489.63,571.78,495.58,DNF,DNF,DNF
,339.9,464.67,238.02,238.18,238.08,238.78,DNF
,355.65,115.36,116.26,117.12,116.74,DNF,DNF
,159.49,223.84,146.21,147.2,293.92,242.66,DNF
,139.55,319.68,191.33,153.66,191.07,DNF,DNF
,DNF,211.07,401.22,127.94,130.08,360.7,DNF
,DNF,223.71,120.19,120.51,120.61,121.15,DNF
,197.63,85.31,84.42,76.42,263.84,481.12,DNF
,125.47,136.77,116.67,117.31,218.02,DNF,DNF
,476.74,170.59,264.77,103.81,70.98,72.99,DNF
,231.26,223.07,223.71,224.38,223.94,DNF,DNF
,,,,,,,
FOV (Radians):,0.7,1,1.3,1.6,1.9,2.2,2.5
Average (s):,242.9027273,228.878,197.3833333,162.8033333,179.1392857,234.153,#DIV/0!
